code_insee|nom|epci|libepci
80411|HAMEL|248000499|CC du Val de Somme
80412|HAMELET|248000499|CC du Val de Somme
80413|HANCOURT|200037059|CC de la Haute Somme
80414|HANGARD|200070969|CC Avre Luce Noye
80415|HANGEST-EN-SANTERRE|200070969|CC Avre Luce Noye
80416|HANGEST-SUR-SOMME|200071223|CC Nièvre et Somme
80417|HARBONNIERES|200070928|CC Terre de Picardie
80418|HARDECOURT-AUX-BOIS|200037059|CC de la Haute Somme
80419|HARGICOURT|200070977|CC du Grand Roye
80420|HARPONVILLE|248000747|CC du Pays du Coquelicot
80421|HATTENCOURT|200070977|CC du Grand Roye
80422|HAUTVILLERS-OUVILLE|200070936|CC Ponthieu-Marquenterre
80423|HAVERNAS|200071223|CC Nièvre et Somme
80424|HEBECOURT|248000531|CA Amiens Métropole
80425|HEDAUVILLE|248000747|CC du Pays du Coquelicot
80426|HEILLY|248000499|CC du Val de Somme
80427|HEM-HARDINVAL|200070951|CC du Territoire Nord Picardie
80428|HEM-MONACU|200037059|CC de la Haute Somme
80429|HENENCOURT|248000499|CC du Val de Somme
80430|HERBECOURT|200037059|CC de la Haute Somme
80431|HERISSART|248000747|CC du Pays du Coquelicot
80432|HERLEVILLE|200070928|CC Terre de Picardie
80433|HERLY|200070977|CC du Grand Roye
80434|HERVILLY|200037059|CC de la Haute Somme
80435|HESBECOURT|200037059|CC de la Haute Somme
80436|HESCAMPS|200071181|CC Somme Sud-Ouest
80437|HEUCOURT-CROQUOISON|200071181|CC Somme Sud-Ouest
80438|HEUDICOURT|200037059|CC de la Haute Somme
80439|HEUZECOURT|200070951|CC du Territoire Nord Picardie
80440|HIERMONT|200070951|CC du Territoire Nord Picardie
80442|HOMBLEUX|200070985|CC de l'Est de la Somme
80443|HORNOY-LE-BOURG|200071181|CC Somme Sud-Ouest
80444|HUCHENNEVILLE|200070944|CC du Vimeu
80445|HUMBERCOURT|200070951|CC du Territoire Nord Picardie
80446|HUPPY|200070993|CA de la Baie de Somme
80447|HYENCOURT-LE-GRAND|200070928|CC Terre de Picardie
80449|IGNAUCOURT|200070969|CC Avre Luce Noye
80450|INVAL-BOIRON|200071181|CC Somme Sud-Ouest
80451|IRLES|248000747|CC du Pays du Coquelicot
80452|JUMEL|200070969|CC Avre Luce Noye
80453|LABOISSIERE-EN-SANTERRE|200070977|CC du Grand Roye
80455|LACHAPELLE|200071181|CC Somme Sud-Ouest
80456|LAFRESGUIMONT-SAINT-MARTIN|200071181|CC Somme Sud-Ouest
80458|LAHOUSSOYE|248000499|CC du Val de Somme
80459|LALEU|200071181|CC Somme Sud-Ouest
80460|LAMARONDE|200071181|CC Somme Sud-Ouest
80461|LAMOTTE-BREBIERE|248000499|CC du Val de Somme
80462|LAMOTTE-BULEUX|200070936|CC Ponthieu-Marquenterre
80463|LAMOTTE-WARFUSEE|248000499|CC du Val de Somme
80464|LANCHERES|200070993|CA de la Baie de Somme
80465|LANGUEVOISIN-QUIQUERY|200070985|CC de l'Est de la Somme
80466|LANCHES-SAINT-HILAIRE|200071223|CC Nièvre et Somme
80467|LAUCOURT|200070977|CC du Grand Roye
80468|LAVIEVILLE|248000747|CC du Pays du Coquelicot
80469|LAWARDE-MAUGER-L'HORTOY|200070969|CC Avre Luce Noye
80470|LEALVILLERS|248000747|CC du Pays du Coquelicot
80472|LESBOEUFS|200037059|CC de la Haute Somme
80473|LIANCOURT-FOSSE|200070977|CC du Grand Roye
80474|LICOURT|200070985|CC de l'Est de la Somme
80475|LIERAMONT|200037059|CC de la Haute Somme
80476|LIERCOURT|200070993|CA de la Baie de Somme
80477|LIGESCOURT|200070936|CC Ponthieu-Marquenterre
80478|LIGNIERES|200070977|CC du Grand Roye
80479|LIGNIERES-CHATELAIN|200071181|CC Somme Sud-Ouest
80480|LIGNIERES-EN-VIMEU|200071181|CC Somme Sud-Ouest
80481|LIHONS|200070928|CC Terre de Picardie
80482|LIMEUX|200070993|CA de la Baie de Somme
