CODGEO;LIBGEO;EPCI;LIBEPCI
02041;Autreville;240200683;CC Chauny Tergnier
02042;Azy-sur-Marne;240200618;CC de la Région de Château Thierry
02043;Bagneux;240200477;CA du Soissonnais
02044;Bancigny;240200444;CC de la Thiérache du Centre
02046;Barenton-Bugny;240200469;CC du Pays de la Serre
02047;Barenton-Cel;240200469;CC du Pays de la Serre
02048;Barenton-sur-Serre;240200469;CC du Pays de la Serre
02049;Barisis-aux-Bois;240200642;CC du Val de l'Ailette
02050;Barzy-en-Thiérache;240200444;CC de la Thiérache du Centre
02051;Barzy-sur-Marne;240200550;CC du Canton de Condé en Brie
02052;Bassoles-Aulers;240200659;CC des Vallons d'Anizy
02053;Baulne-en-Brie;240200550;CC du Canton de Condé en Brie
02054;Bazoches-sur-Vesles;240200501;CC du Val de l'Aisne
02055;Beaumé;240200600;CC du Pays des Trois Rivières
02056;Beaumont-en-Beine;240200683;CC Chauny Tergnier
02057;Beaurevoir;240200493;CC du Pays du Vermandois
02058;Beaurieux;240200592;CC du Chemin des Dames
02059;Beautor;240200428;CC des Villes d'Oyse
02060;Beauvois-en-Vermandois;240200493;CC du Pays du Vermandois
02061;Becquigny;240200493;CC du Pays du Vermandois
02062;Belleau;240200618;CC de la Région de Château Thierry
